Numer zadania,Nazwa zadania,Numer pola,£azik,Czas wystawienia,Czas zrealizowania
196,explore_point,explore_point_-0.5_-2.0,Rover0,4949.000000009239,4954.100000009257
190,explore_point,explore_point_-0.5_-5.0,Rover2,4697.500000008324,4956.250000009265
197,explore_point,explore_point_-0.5_-1.5,Rover0,4954.650000009259,4959.4000000092765
199,explore_point,explore_point_-0.5_1.0,Rover0,4959.9500000092785,4977.650000009343
198,explore_point,explore_point_-0.5_-1.0,Rover2,4956.800000009267,4982.40000000936
200,explore_point,explore_point_-0.5_1.5,Rover0,4978.200000009345,4983.350000009364
192,explore_point,explore_point_-0.5_-4.0,Rover1,4722.750000008416,4984.250000009367
202,explore_point,explore_point_-0.5_2.5,Rover0,4984.250000009367,4992.650000009397
204,explore_point,explore_point_-0.5_3.5,Rover0,4993.200000009399,5000.9000000094275
205,explore_point,explore_point_-0.5_4.0,Rover0,5001.4500000094295,5012.50000000947
201,explore_point,explore_point_-0.5_2.0,Rover2,4983.300000009363,5205.200000010171
206,explore_point,explore_point_-0.5_4.5,Rover0,5013.0000000094715,5208.150000010181
207,explore_point,explore_point_-0.5_5.0,Rover2,5205.750000010173,5226.500000010248
203,explore_point,explore_point_-0.5_3.0,Rover1,4984.800000009369,5236.700000010285
209,explore_point,explore_point_0.0_-4.5,Rover2,5227.05000001025,5476.4500000111575
210,explore_point,explore_point_0.0_-4.0,Rover1,5237.250000010287,5482.250000011179
211,explore_point,explore_point_0.0_-3.5,Rover2,5477.0000000111595,5483.350000011183
212,explore_point,explore_point_0.0_-3.0,Rover1,5482.800000011181,5490.550000011209
213,explore_point,explore_point_0.0_-2.5,Rover2,5483.900000011185,5492.250000011215
208,explore_point,explore_point_0.0_-5.0,Rover0,5208.700000010183,5498.200000011237
214,explore_point,explore_point_0.0_-2.0,Rover1,5491.100000011211,5501.450000011248
215,explore_point,explore_point_0.0_-1.5,Rover2,5492.800000011217,5501.85000001125
217,explore_point,explore_point_0.0_1.0,Rover1,5502.350000011252,5664.650000011842
216,explore_point,explore_point_0.0_-1.0,Rover0,5498.750000011239,5669.65000001186
219,explore_point,explore_point_0.0_2.0,Rover1,5665.200000011844,5673.950000011876
221,explore_point,explore_point_0.0_3.0,Rover1,5674.500000011878,5682.000000011905
222,explore_point,explore_point_0.0_3.5,Rover1,5682.550000011907,5686.4500000119215
223,explore_point,explore_point_0.0_4.0,Rover1,5687.0000000119235,5693.300000011946
224,explore_point,explore_point_0.0_4.5,Rover1,5693.850000011948,5697.950000011963
225,explore_point,explore_point_0.0_5.0,Rover1,5698.500000011965,5703.000000011982
220,explore_point,explore_point_0.0_2.5,Rover0,5670.200000011862,5920.050000012771
218,explore_point,explore_point_0.0_1.5,Rover2,5502.350000011252,5932.400000012816
227,explore_point,explore_point_0.5_-4.5,Rover0,5920.600000012773,5970.750000012956
228,explore_point,explore_point_0.5_-4.0,Rover2,5932.950000012818,5973.500000012966
229,explore_point,explore_point_0.5_-3.5,Rover0,5971.300000012958,5992.000000013033
231,explore_point,explore_point_0.5_-2.5,Rover0,5992.450000013035,5996.65000001305
232,explore_point,explore_point_0.5_-2.0,Rover0,5997.100000013052,6174.6500000136975
226,explore_point,explore_point_0.5_-5.0,Rover1,5703.550000011984,6176.950000013706
230,explore_point,explore_point_0.5_-3.0,Rover2,5974.000000012968,6178.250000013711
233,explore_point,explore_point_0.5_-1.5,Rover0,6175.2000000136995,6180.400000013718
236,explore_point,explore_point_0.5_1.5,Rover0,6180.9500000137205,6203.450000013802
234,explore_point,explore_point_0.5_-1.0,Rover1,6177.500000013708,6206.150000013812
237,explore_point,explore_point_0.5_2.0,Rover0,6204.000000013804,6208.900000013822
235,explore_point,explore_point_0.5_1.0,Rover2,6178.800000013713,6209.350000013824
239,explore_point,explore_point_0.5_3.0,Rover0,6209.800000013825,6217.650000013854
241,explore_point,explore_point_0.5_4.0,Rover0,6218.200000013856,6225.700000013883
240,explore_point,explore_point_0.5_3.5,Rover2,6209.850000013826,6228.8000000138945
243,explore_point,explore_point_0.5_5.0,Rover2,6229.300000013896,6236.000000013921
242,explore_point,explore_point_0.5_4.5,Rover0,6226.250000013885,6418.700000014585
238,explore_point,explore_point_0.5_2.5,Rover1,6206.700000013814,6423.750000014604
246,explore_point,explore_point_1.0_-4.0,Rover1,6424.300000014606,6466.60000001476
247,explore_point,explore_point_1.0_-3.5,Rover1,6467.150000014762,6470.450000014774
248,explore_point,explore_point_1.0_-3.0,Rover1,6471.000000014776,6476.100000014794
249,explore_point,explore_point_1.0_-2.5,Rover1,6476.650000014796,6480.45000001481
250,explore_point,explore_point_1.0_-2.0,Rover1,6480.950000014812,6483.450000014821
